name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Express Line,1-Kolkata to Digha,Esplanade,Digha,04h 25m,07:30,11:55,404,7Seats available,4.6414
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:30,04:30,585,18Seats available,4.4335
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 45m,07:15,12:00,315,3Seats available,4.4309
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 30m,08:15,12:45,INR400,16Seats available,4.3323
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 00m,06:45,11:45,INR350,12Seats available,4.3328
Express Line,1-Kolkata to Digha,Esplanade,Digha,04h 25m,07:30,11:55,404,7Seats available,4.6414
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:30,04:30,585,18Seats available,4.4335
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 45m,07:15,12:00,315,3Seats available,4.4309
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 30m,08:15,12:45,INR400,16Seats available,4.3323
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 00m,06:45,11:45,INR350,12Seats available,4.3328
Express Line,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:45,04:45,584,42Seats available,4.5289
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 10m,06:30,11:40,INR350,7Seats available,4.2187
Sagufta Travels(Maa Chandi),1-Kolkata to Digha,Esplanade,New Digha Bus Stand,05h 13m,23:57,05:10,394,26Seats available,4.281
Snemita Paribahan,1-Kolkata to Digha,Airport,Bus Stand,04h 20m,06:00,10:20,INR370,7Seats available,4.190
Santosh Bus Service,1-Kolkata to Digha,Barasat Colony More,Digha,04h 20m,06:00,10:20,352,9Seats available,3.7194
Express Line,1-Kolkata to Digha,Esplanade,Digha,04h 25m,07:30,11:55,404,7Seats available,4.6414
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:30,04:30,585,18Seats available,4.4335
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 45m,07:15,12:00,315,3Seats available,4.4309
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 30m,08:15,12:45,INR400,16Seats available,4.3323
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 00m,06:45,11:45,INR350,12Seats available,4.3328
Express Line,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:45,04:45,584,42Seats available,4.5289
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 10m,06:30,11:40,INR350,7Seats available,4.2187
Sagufta Travels(Maa Chandi),1-Kolkata to Digha,Esplanade,New Digha Bus Stand,05h 13m,23:57,05:10,394,26Seats available,4.281
Snemita Paribahan,1-Kolkata to Digha,Airport,Bus Stand,04h 20m,06:00,10:20,INR370,7Seats available,4.190
Santosh Bus Service,1-Kolkata to Digha,Barasat Colony More,Digha,04h 20m,06:00,10:20,352,9Seats available,3.7194
Express Line,1-Kolkata to Digha,Esplanade,Digha,04h 25m,07:30,11:55,404,7Seats available,4.6414
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:30,04:30,585,18Seats available,4.4335
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 45m,07:15,12:00,315,3Seats available,4.4309
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 30m,08:15,12:45,INR400,16Seats available,4.3323
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 00m,06:45,11:45,INR350,12Seats available,4.3328
Express Line,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:45,04:45,584,42Seats available,4.5289
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 10m,06:30,11:40,INR350,7Seats available,4.2187
Sagufta Travels(Maa Chandi),1-Kolkata to Digha,Esplanade,New Digha Bus Stand,05h 13m,23:57,05:10,394,26Seats available,4.281
Snemita Paribahan,1-Kolkata to Digha,Airport,Bus Stand,04h 20m,06:00,10:20,INR370,7Seats available,4.190
Santosh Bus Service,1-Kolkata to Digha,Barasat Colony More,Digha,04h 20m,06:00,10:20,352,9Seats available,3.7194
City Express (Snemita),1-Kolkata to Digha,Esplanade,Bus Stand,04h 30m,05:35,10:05,INR320,27Seats available,4.173
Parameswar Travels,1-Kolkata to Digha,Esplanade,New Digha,04h 55m,23:50,04:45,302,29Seats available,3.467
Snemita Paribahan (SHINJINI),1-Kolkata to Digha,Esplanade,Bus Stand,04h 30m,05:50,10:20,INR320,30Seats available,3.887
Snemita Paribahan,1-Kolkata to Digha,Barrackpore,Bus Stand,04h 45m,05:00,09:45,INR230,22Seats available,3.961
Samanta Travels,1-Kolkata to Digha,Esplanade,Digha bus stand,04h 30m,08:40,13:10,285,21Seats available,3.3100
Express Line,1-Kolkata to Digha,Esplanade,Digha,04h 25m,07:30,11:55,404,7Seats available,4.6414
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:30,04:30,585,18Seats available,4.4335
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 45m,07:15,12:00,315,3Seats available,4.4309
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 30m,08:15,12:45,INR400,16Seats available,4.3323
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 00m,06:45,11:45,INR350,12Seats available,4.3328
Express Line,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:45,04:45,584,42Seats available,4.5289
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 10m,06:30,11:40,INR350,7Seats available,4.2187
Sagufta Travels(Maa Chandi),1-Kolkata to Digha,Esplanade,New Digha Bus Stand,05h 13m,23:57,05:10,394,26Seats available,4.281
Snemita Paribahan,1-Kolkata to Digha,Airport,Bus Stand,04h 20m,06:00,10:20,INR370,7Seats available,4.190
Santosh Bus Service,1-Kolkata to Digha,Barasat Colony More,Digha,04h 20m,06:00,10:20,352,9Seats available,3.7194
City Express (Snemita),1-Kolkata to Digha,Esplanade,Bus Stand,04h 30m,05:35,10:05,INR320,27Seats available,4.173
Parameswar Travels,1-Kolkata to Digha,Esplanade,New Digha,04h 55m,23:50,04:45,302,29Seats available,3.467
