name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,00:40,05:30,INR700,15Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,01:10,06:00,INR700,41Seats available,3.3
Shri Ganesh Travels,1-Jodhpur to Ajmer,SHREE GANESH TRAVELS DALLE KH...,Shree Ganesh Travels parwat p...,03h 30m,01:30,05:00,INR450,1Seat available,3.8
R.S.Sodha Travels,1-Jodhpur to Ajmer,Barvi Road Choraha,Prabhat pura By pass,03h 35m,01:45,05:20,INR660,39Seats available,3.5
V k jain travels,1-Jodhpur to Ajmer,KALPATRU VKJAIN TRAVELS ( PIC...,Ajmeri Puliya,05h 05m,08:45,13:50,INR330,25Seats available,3.0
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,00:40,05:30,INR700,15Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,01:10,06:00,INR700,41Seats available,3.3
Shri Ganesh Travels,1-Jodhpur to Ajmer,SHREE GANESH TRAVELS DALLE KH...,Shree Ganesh Travels parwat p...,03h 30m,01:30,05:00,INR450,1Seat available,3.8
R.S.Sodha Travels,1-Jodhpur to Ajmer,Barvi Road Choraha,Prabhat pura By pass,03h 35m,01:45,05:20,INR660,39Seats available,3.5
V k jain travels,1-Jodhpur to Ajmer,KALPATRU VKJAIN TRAVELS ( PIC...,Ajmeri Puliya,05h 05m,08:45,13:50,INR330,25Seats available,3.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,11:00,15:30,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 00m,14:00,18:00,INR430,40Seats available,3.18
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 15m,14:30,18:45,INR330,40Seats available,3.1
Om Travels,1-Jodhpur to Ajmer,Om travels near shastri nagar...,Hazari bagh,06h 00m,15:00,21:00,INR600,36Seats available,3.3
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 05m,15:00,19:05,INR580,28Seats available,3.1
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,00:40,05:30,INR700,15Seats available,3.3
