name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
FlixBus,1-Chandigarh to Delhi,Airport,ISBT Kashmiri Gate,04h 30m,00:30,05:00,INR399,32Seats available,4.0
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 20m,00:40,05:00,360,10Seats available,4.3106
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC),ISBT Kashmiri Gate,04h 35m,00:55,05:30,450,21Seats available,5.06
Ram Dalal Holidays,1-Chandigarh to Delhi,PANCHKULA,ISBT Kashmiri Gate,05h 40m,00:55,06:35,INR500,27Seats available,4.710
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 30m,01:00,05:30,570,8Seats available,4.596
FlixBus,1-Chandigarh to Delhi,Airport,ISBT Kashmiri Gate,04h 30m,00:30,05:00,INR399,32Seats available,4.0
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 20m,00:40,05:00,360,10Seats available,4.3106
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC),ISBT Kashmiri Gate,04h 35m,00:55,05:30,450,21Seats available,5.06
Ram Dalal Holidays,1-Chandigarh to Delhi,PANCHKULA,ISBT Kashmiri Gate,05h 40m,00:55,06:35,INR500,27Seats available,4.710
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 30m,01:00,05:30,570,8Seats available,4.596
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 20m,01:10,05:30,INR394,2Seats available,4.811
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 50m,01:40,06:30,446,11Seats available,4.545
FlixBus,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 45m,01:15,06:00,INR375,24Seats available,4.09
Muskan Tour And Travels private Limited,1-Chandigarh to Delhi,Chandni Chowk,Karnal Bye Pass,04h 25m,01:30,05:55,525,32Seats available,4.2
New Himalaya Travels,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,05h 05m,01:15,06:20,INR450,3Seats available,3.76
FlixBus,1-Chandigarh to Delhi,Airport,ISBT Kashmiri Gate,04h 30m,00:30,05:00,INR399,32Seats available,4.0
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 20m,00:40,05:00,360,10Seats available,4.3106
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC),ISBT Kashmiri Gate,04h 35m,00:55,05:30,450,21Seats available,5.06
Ram Dalal Holidays,1-Chandigarh to Delhi,PANCHKULA,ISBT Kashmiri Gate,05h 40m,00:55,06:35,INR500,27Seats available,4.710
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 30m,01:00,05:30,570,8Seats available,4.596
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 20m,01:10,05:30,INR394,2Seats available,4.811
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 50m,01:40,06:30,446,11Seats available,4.545
FlixBus,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 45m,01:15,06:00,INR375,24Seats available,4.09
Muskan Tour And Travels private Limited,1-Chandigarh to Delhi,Chandni Chowk,Karnal Bye Pass,04h 25m,01:30,05:55,525,32Seats available,4.2
New Himalaya Travels,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,05h 05m,01:15,06:20,INR450,3Seats available,3.76
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC,ISBT Kashmiri Gate,04h 30m,01:00,05:30,468,13Seats available,4.519
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 55m,01:25,06:20,INR350,18Seats available,4.4259
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 00m,01:30,05:30,607,5Seats available,4.388
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 15m,01:30,05:45,INR550,1Seat available,3.216
City Land Travels,1-Chandigarh to Delhi,Panchkula Toll,ISBT Kashmiri Gate,04h 25m,02:35,07:00,INR480,23Seats available,3.0
FlixBus,1-Chandigarh to Delhi,Airport,ISBT Kashmiri Gate,04h 30m,00:30,05:00,INR399,32Seats available,4.0
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 20m,00:40,05:00,360,10Seats available,4.3106
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC),ISBT Kashmiri Gate,04h 35m,00:55,05:30,450,21Seats available,5.06
Ram Dalal Holidays,1-Chandigarh to Delhi,PANCHKULA,ISBT Kashmiri Gate,05h 40m,00:55,06:35,INR500,27Seats available,4.710
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 30m,01:00,05:30,570,8Seats available,4.596
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 20m,01:10,05:30,INR394,2Seats available,4.811
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 50m,01:40,06:30,446,11Seats available,4.545
FlixBus,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 45m,01:15,06:00,INR375,24Seats available,4.09
Muskan Tour And Travels private Limited,1-Chandigarh to Delhi,Chandni Chowk,Karnal Bye Pass,04h 25m,01:30,05:55,525,32Seats available,4.2
New Himalaya Travels,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,05h 05m,01:15,06:20,INR450,3Seats available,3.76
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC,ISBT Kashmiri Gate,04h 30m,01:00,05:30,468,13Seats available,4.519
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 55m,01:25,06:20,INR350,18Seats available,4.4259
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 00m,01:30,05:30,607,5Seats available,4.388
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 15m,01:30,05:45,INR550,1Seat available,3.216
City Land Travels,1-Chandigarh to Delhi,Panchkula Toll,ISBT Kashmiri Gate,04h 25m,02:35,07:00,INR480,23Seats available,3.0
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 55m,01:40,06:35,INR500,27Seats available,4.045
City Land Travels,1-Chandigarh to Delhi,Sector 43 HP Petrol Pump Oppo...,ISBT Kashmiri Gate,04h 55m,02:05,07:00,INR480,23Seats available,3.6
Golden Temple Express Volvo,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,03h 35m,02:30,06:05,599,25Seats available,3.7
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 30m,01:45,06:15,540,19Seats available,4.329
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 31m,01:59,06:30,INR550,7Seats available,5.017
FlixBus,1-Chandigarh to Delhi,Airport,ISBT Kashmiri Gate,04h 30m,00:30,05:00,INR399,32Seats available,4.0
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 20m,00:40,05:00,360,10Seats available,4.3106
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC),ISBT Kashmiri Gate,04h 35m,00:55,05:30,450,21Seats available,5.06
Ram Dalal Holidays,1-Chandigarh to Delhi,PANCHKULA,ISBT Kashmiri Gate,05h 40m,00:55,06:35,INR500,27Seats available,4.710
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 30m,01:00,05:30,570,8Seats available,4.596
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 20m,01:10,05:30,INR394,2Seats available,4.811
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 50m,01:40,06:30,446,11Seats available,4.545
FlixBus,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 45m,01:15,06:00,INR375,24Seats available,4.09
Muskan Tour And Travels private Limited,1-Chandigarh to Delhi,Chandni Chowk,Karnal Bye Pass,04h 25m,01:30,05:55,525,32Seats available,4.2
New Himalaya Travels,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,05h 05m,01:15,06:20,INR450,3Seats available,3.76
Bedi Travels,1-Chandigarh to Delhi,Zirakpur (Near KFC,ISBT Kashmiri Gate,04h 30m,01:00,05:30,468,13Seats available,4.519
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 55m,01:25,06:20,INR350,18Seats available,4.4259
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 00m,01:30,05:30,607,5Seats available,4.388
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 15m,01:30,05:45,INR550,1Seat available,3.216
City Land Travels,1-Chandigarh to Delhi,Panchkula Toll,ISBT Kashmiri Gate,04h 25m,02:35,07:00,INR480,23Seats available,3.0
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 55m,01:40,06:35,INR500,27Seats available,4.045
City Land Travels,1-Chandigarh to Delhi,Sector 43 HP Petrol Pump Oppo...,ISBT Kashmiri Gate,04h 55m,02:05,07:00,INR480,23Seats available,3.6
Golden Temple Express Volvo,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,03h 35m,02:30,06:05,599,25Seats available,3.7
Zingbus Plus,1-Chandigarh to Delhi,Sec 43,Majnu Ka Tilla,04h 30m,01:45,06:15,540,19Seats available,4.329
Ram Dalal Holidays,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,04h 31m,01:59,06:30,INR550,7Seats available,5.017
Laxmi holidays,1-Chandigarh to Delhi,Tribune Chowk Sector 31B,ISBT Kashmiri Gate,04h 20m,02:00,06:20,523,15Seats available,4.830
SPEED BUS,1-Chandigarh to Delhi,Sec 43,ISBT Kashmiri Gate,05h 50m,02:00,07:50,499,52Seats available,3.7
