name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
MMK Travels,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,09h 00m,22:30,07:30,INR900,27Seats available,4.4482
SAAM BUS,1-Bangalore to Kozhikode,Dasarahalli,Mavoor,10h 35m,20:10,06:45,INR950,23Seats available,4.5139
NS Transports,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,08h 25m,21:45,06:10,INR900,19Seats available,4.3288
AdSuraj Holidays,1-Bangalore to Kozhikode,Madiwala,M M Ali road,09h 30m,20:30,06:00,INR750,17Seats available,3.3113
Kyros Connect,1-Bangalore to Kozhikode,Madiwala,M M Ali Road (Calicut,10h 00m,23:00,09:00,INR799,36Seats available,4.2338
MMK Travels,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,09h 00m,22:30,07:30,INR900,27Seats available,4.4482
SAAM BUS,1-Bangalore to Kozhikode,Dasarahalli,Mavoor,10h 35m,20:10,06:45,INR950,23Seats available,4.5139
NS Transports,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,08h 25m,21:45,06:10,INR900,19Seats available,4.3288
AdSuraj Holidays,1-Bangalore to Kozhikode,Madiwala,M M Ali road,09h 30m,20:30,06:00,INR750,17Seats available,3.3113
Kyros Connect,1-Bangalore to Kozhikode,Madiwala,M M Ali Road (Calicut,10h 00m,23:00,09:00,INR799,36Seats available,4.2338
NS Transports,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,08h 45m,22:45,07:30,INR1100,8Seats available,4.2288
P K Travels,1-Bangalore to Kozhikode,Mathikere,Calicut/Kozhikode,11h 15m,19:15,06:30,INR1100,8Seats available,4.4103
AdSuraj Holidays,1-Bangalore to Kozhikode,Madiwala,Calicut,09h 00m,22:30,07:30,INR1000,21Seats available,3.8274
Silver Line Travels,1-Bangalore to Kozhikode,Kalasipalyam,M M ALI ROAD,08h 10m,22:00,06:10,INR649,35Seats available,4.5294
DLT BUS,1-Bangalore to Kozhikode,Madiwala,MM Ali road,09h 00m,22:30,07:30,INR1299,18Seats available,3.9308
MMK Travels,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,09h 00m,22:30,07:30,INR900,27Seats available,4.4482
SAAM BUS,1-Bangalore to Kozhikode,Dasarahalli,Mavoor,10h 35m,20:10,06:45,INR950,23Seats available,4.5139
NS Transports,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,08h 25m,21:45,06:10,INR900,19Seats available,4.3288
AdSuraj Holidays,1-Bangalore to Kozhikode,Madiwala,M M Ali road,09h 30m,20:30,06:00,INR750,17Seats available,3.3113
Kyros Connect,1-Bangalore to Kozhikode,Madiwala,M M Ali Road (Calicut,10h 00m,23:00,09:00,INR799,36Seats available,4.2338
NS Transports,1-Bangalore to Kozhikode,Kalasipalyam,Calicut,08h 45m,22:45,07:30,INR1100,8Seats available,4.2288
P K Travels,1-Bangalore to Kozhikode,Mathikere,Calicut/Kozhikode,11h 15m,19:15,06:30,INR1100,8Seats available,4.4103
AdSuraj Holidays,1-Bangalore to Kozhikode,Madiwala,Calicut,09h 00m,22:30,07:30,INR1000,21Seats available,3.8274
Silver Line Travels,1-Bangalore to Kozhikode,Kalasipalyam,M M ALI ROAD,08h 10m,22:00,06:10,INR649,35Seats available,4.5294
DLT BUS,1-Bangalore to Kozhikode,Madiwala,MM Ali road,09h 00m,22:30,07:30,INR1299,18Seats available,3.9308
SKS Tourist Corporation (REGD),1-Bangalore to Kozhikode,Kalasipalyam,Calicut,08h 30m,21:00,05:30,INR899,18Seats available,4.0115
