name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 30m,21:00,07:30,INR909,14Seats available,4.5623
Ashray Travels,1-Pune to Goa,Swargate,Mapusa,11h 30m,21:00,08:30,INR899,27Seats available,4.5524
Ashray Amrutyog,1-Pune to Goa,Swargate,Mapusa,11h 30m,22:00,09:30,INR899,23Seats available,4.4568
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 15m,22:30,08:45,INR909,13Seats available,4.6477
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,11h 15m,23:55,11:10,793,25Seats available,4.4328
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 30m,21:00,07:30,INR909,14Seats available,4.5623
Ashray Travels,1-Pune to Goa,Swargate,Mapusa,11h 30m,21:00,08:30,INR899,27Seats available,4.5524
Ashray Amrutyog,1-Pune to Goa,Swargate,Mapusa,11h 30m,22:00,09:30,INR899,23Seats available,4.4568
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 15m,22:30,08:45,INR909,13Seats available,4.6477
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,11h 15m,23:55,11:10,793,25Seats available,4.4328
IntrCity SmartBus,1-Pune to Goa,Swargate,Mapusa,10h 20m,23:30,09:50,INR867,16Seats available,4.4234
Anand Travels,1-Pune to Goa,Katraj,Madgaon,12h 00m,21:30,09:30,639,10Seats available,2.637
Ashray Vip Yellows,1-Pune to Goa,Swargate,Mapusa,11h 30m,20:30,08:00,INR900,26Seats available,4.2531
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,10h 40m,02:30,13:10,720,5Seats available,4.266
Ashray Divine,1-Pune to Goa,Swargate,Mapusa,11h 00m,19:45,06:45,INR800,22Seats available,4.2469
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 30m,21:00,07:30,INR909,14Seats available,4.5623
Ashray Travels,1-Pune to Goa,Swargate,Mapusa,11h 30m,21:00,08:30,INR899,27Seats available,4.5524
Ashray Amrutyog,1-Pune to Goa,Swargate,Mapusa,11h 30m,22:00,09:30,INR899,23Seats available,4.4568
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 15m,22:30,08:45,INR909,13Seats available,4.6477
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,11h 15m,23:55,11:10,793,25Seats available,4.4328
IntrCity SmartBus,1-Pune to Goa,Swargate,Mapusa,10h 20m,23:30,09:50,INR867,16Seats available,4.4234
Anand Travels,1-Pune to Goa,Katraj,Madgaon,12h 00m,21:30,09:30,639,10Seats available,2.637
Ashray Vip Yellows,1-Pune to Goa,Swargate,Mapusa,11h 30m,20:30,08:00,INR900,26Seats available,4.2531
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,10h 40m,02:30,13:10,720,5Seats available,4.266
Ashray Divine,1-Pune to Goa,Swargate,Mapusa,11h 00m,19:45,06:45,INR800,22Seats available,4.2469
Dolphin Travel House (37),1-Pune to Goa,Swargate,Mapusa,10h 15m,20:15,06:30,INR910,17Seats available,4.4157
Ashray Travels,1-Pune to Goa,Swargate,Mapusa,10h 30m,21:15,07:45,INR500,39Seats available,4.2234
IntrCity SmartBus,1-Pune to Goa,Swargate,Mapusa,10h 50m,21:30,08:20,INR725,16Seats available,4.0424
Atmaram Gobus,1-Pune to Goa,Katraj,Mapusa,09h 55m,21:05,07:00,INR850,18Seats available,4.1192
Ashray National Express,1-Pune to Goa,Swargate,Mapusa,10h 45m,20:00,06:45,INR800,20Seats available,4.2106
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 30m,21:00,07:30,INR909,14Seats available,4.5623
Ashray Travels,1-Pune to Goa,Swargate,Mapusa,11h 30m,21:00,08:30,INR899,27Seats available,4.5524
Ashray Amrutyog,1-Pune to Goa,Swargate,Mapusa,11h 30m,22:00,09:30,INR899,23Seats available,4.4568
Atmaram Gobus,1-Pune to Goa,Swargate,Mapusa,10h 15m,22:30,08:45,INR909,13Seats available,4.6477
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,11h 15m,23:55,11:10,793,25Seats available,4.4328
IntrCity SmartBus,1-Pune to Goa,Swargate,Mapusa,10h 20m,23:30,09:50,INR867,16Seats available,4.4234
Anand Travels,1-Pune to Goa,Katraj,Madgaon,12h 00m,21:30,09:30,639,10Seats available,2.637
Ashray Vip Yellows,1-Pune to Goa,Swargate,Mapusa,11h 30m,20:30,08:00,INR900,26Seats available,4.2531
Zingbus Plus,1-Pune to Goa,Swargate,Mapusa,10h 40m,02:30,13:10,720,5Seats available,4.266
