name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
Sai Sree Travels,1-Kakinada to Visakhapatnam,JNTU,Rama Talkies,02h 55m,00:50,03:45,INR890,24Seats available,2.9
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Sri Tulasi Tours and Travels,1-Visakhapatnam to Kakinada,Gurudwar,Sarpavaram,03h 30m,22:00,01:30,INR699,30Seats available,3.4
Sai RK Travels,1-Visakhapatnam to Kakinada,Kurmanipalem,Kakinada,03h 50m,22:40,02:30,INR545,29Seats available,4.4
Navayuga Travels,1-Visakhapatnam to Kakinada,Rama Talkies,Zilla Parishad,04h 10m,22:00,02:10,INR1090,22Seats available,3.5
Morning Star Travels,1-Visakhapatnam to Kakinada,Madhurawada,Bhanugudi Junction,05h 15m,21:10,02:25,INR790,25Seats available,2.6
Sai Sree Travels,1-Visakhapatnam to Kakinada,Kommadi,JNTU,04h 30m,22:00,02:30,INR899,23Seats available,2.9
Sri Tulasi Tours and Travels,1-Visakhapatnam to Kakinada,Gurudwar,Sarpavaram,03h 30m,22:00,01:30,INR699,30Seats available,3.4
Sai RK Travels,1-Visakhapatnam to Kakinada,Kurmanipalem,Kakinada,03h 50m,22:40,02:30,INR545,29Seats available,4.4
