name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
V.I.P Travels,1-Patna (Bihar) to Bettiah,Bus Stand,Betiah Bus Stand,06h 00m,21:40,03:40,INR350,61Seats available,3.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 40m,22:20,05:00,INR550,52Seats available,3.443
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 30m,07:00,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:12,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 10m,07:20,12:30,416,42Seats available,1.0
V.I.P Travels,1-Patna (Bihar) to Bettiah,Bus Stand,Betiah Bus Stand,06h 00m,21:40,03:40,INR350,61Seats available,3.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 40m,22:20,05:00,INR550,52Seats available,3.443
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 30m,07:00,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:12,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 10m,07:20,12:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 20m,07:25,12:45,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:32,12:50,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 23m,07:37,13:00,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,08:12,13:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 09m,08:41,13:50,416,42Seats available,1.0
V.I.P Travels,1-Patna (Bihar) to Bettiah,Bus Stand,Betiah Bus Stand,06h 00m,21:40,03:40,INR350,61Seats available,3.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 40m,22:20,05:00,INR550,52Seats available,3.443
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 30m,07:00,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:12,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 10m,07:20,12:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 20m,07:25,12:45,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:32,12:50,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 23m,07:37,13:00,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,08:12,13:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 09m,08:41,13:50,416,42Seats available,1.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 30m,09:30,16:00,INR500,60Seats available,2.711
Vivek Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,07h 00m,13:25,20:25,INR450,45Seats available,New
Vivek Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,07h 00m,13:30,20:30,INR400,72Seats available,New
Jai Mata Di Tour and Travels,1-Patna (Bihar) to Bettiah,Patna,Bettiah Bus Stand,05h 32m,20:28,02:00,450,6Seats available,2.46
Jai Mata Di Tour and Travels,1-Patna (Bihar) to Bettiah,Patna new bairiya bus stand,Bettiah Bus Stand,05h 20m,22:40,04:00,405,25Seats available,2.223
V.I.P Travels,1-Patna (Bihar) to Bettiah,Bus Stand,Betiah Bus Stand,06h 00m,21:40,03:40,INR350,61Seats available,3.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 40m,22:20,05:00,INR550,52Seats available,3.443
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 30m,07:00,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:12,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 10m,07:20,12:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 20m,07:25,12:45,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:32,12:50,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 23m,07:37,13:00,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,08:12,13:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 09m,08:41,13:50,416,42Seats available,1.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 30m,09:30,16:00,INR500,60Seats available,2.711
Vivek Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,07h 00m,13:25,20:25,INR450,45Seats available,New
Vivek Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,07h 00m,13:30,20:30,INR400,72Seats available,New
Jai Mata Di Tour and Travels,1-Patna (Bihar) to Bettiah,Patna,Bettiah Bus Stand,05h 32m,20:28,02:00,450,6Seats available,2.46
Jai Mata Di Tour and Travels,1-Patna (Bihar) to Bettiah,Patna new bairiya bus stand,Bettiah Bus Stand,05h 20m,22:40,04:00,405,25Seats available,2.223
V.I.P Travels,1-Patna (Bihar) to Bettiah,Bus Stand,Betiah Bus Stand,06h 00m,21:40,03:40,INR350,61Seats available,3.0
Jai Hanuman Travels,1-Patna (Bihar) to Bettiah,Gandhi Maidan bsrtc bus depo,Betiah Bus Stand,06h 40m,22:20,05:00,INR550,52Seats available,3.443
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 30m,07:00,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 18m,07:12,12:30,405,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 10m,07:20,12:30,416,42Seats available,1.0
Saurabh Travels,1-Patna (Bihar) to Bettiah,Patliputra Bairiya ISBT,Betiah Bus Stand,05h 20m,07:25,12:45,416,42Seats available,1.0
