name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,ISBT Guwahati,03h 55m,06:30,10:25,INR360,27Seats available,4.2405
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,07:35,11:00,INR342.86,22Seats available,3.7102
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,04h 15m,07:45,12:00,INR360,27Seats available,4.1352
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 30m,08:00,11:30,357,30Seats available,4.792
NEELKANTH TRAVELS,1-Tezpur to Guwahati,Tezpur (Mission Chariali,Khanapara,03h 15m,05:15,08:30,INR300,27Seats available,4.690
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 15m,05:40,08:55,340,7Seats available,4.6400
WARISPIYA TRAVELS,1-Tezpur to Guwahati,ASTC Bus Stand Tezpur,Khanapara,03h 15m,05:45,09:00,INR360,30Seats available,3.9236
AdKalpana Travels,1-Tezpur to Guwahati,Mission Chariali,ISBT Guwahati,03h 40m,08:50,12:30,342,44Seats available,3.44
Orient Transline,1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 05m,05:55,09:00,INR352.38,19Seats available,4.447
Mahi Travels(Under ASTC),1-Tezpur to Guwahati,Mission Chariali,Khanapara,03h 25m,06:15,09:40,338,22Seats available,3.971
