Name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Meghalaya Transport Corporation(MTC)  - 163300,1-Guwahati to Shillong,ASTC Paltan Bazar,Mawiong ISBT,03h 00m,7:00,10:00,INR200,11Seats available,4.4345
NETWORK TRAVELS,1-Guwahati to Shillong,ISBT Guwahati,Borapani,01h 55m,5:45,7:40,INR400,6Seats available,3.7
Meghalaya Transport Corporation(MTC)  - 163300,1-Guwahati to Shillong,ASTC Paltan Bazar,Mawiong ISBT,03h 00m,7:00,10:00,INR200,11Seats available,4.4345
NETWORK TRAVELS,1-Guwahati to Shillong,ISBT Guwahati,Borapani,01h 55m,5:45,7:40,INR400,6Seats available,3.7
Meghalaya Transport Corporation(MTC)  - 163300,1-Guwahati to Shillong,ASTC Paltan Bazar,Mawiong ISBT,03h 00m,7:00,10:00,INR200,11Seats available,4.4345
NETWORK TRAVELS,1-Guwahati to Shillong,ISBT Guwahati,Borapani,01h 55m,5:45,7:40,INR400,6Seats available,3.7
Meghalaya Transport Corporation(MTC)  - 163300,1-Guwahati to Shillong,ASTC Paltan Bazar,Mawiong ISBT,03h 00m,7:00,10:00,INR200,11Seats available,4.4345
NETWORK TRAVELS,1-Guwahati to Shillong,ISBT Guwahati,Borapani,01h 55m,5:45,7:40,INR400,6Seats available,3.7
Meghalaya Transport Corporation(MTC)  - 163300,1-Guwahati to Shillong,ASTC Paltan Bazar,Mawiong ISBT,03h 00m,7:00,10:00,INR200,11Seats available,4.4345
NETWORK TRAVELS,1-Guwahati to Shillong,ISBT Guwahati,Borapani,01h 55m,5:45,7:40,INR400,6Seats available,3.7
Meghalaya Transport Corporation(MTC)  - 163300,1-Guwahati to Shillong,ASTC Paltan Bazar,Mawiong ISBT,03h 00m,7:00,10:00,INR200,11Seats available,4.4345
NETWORK TRAVELS,1-Guwahati to Shillong,ISBT Guwahati,Borapani,01h 55m,5:45,7:40,INR400,6Seats available,3.7
