name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Easy Ride,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,12h 40m,18:45,07:25,INR1500,25Seats available,4.7677
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,18:30,07:45,INR1200,48Seats available,4.5834
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,19:30,08:45,INR1200,40Seats available,4.4588
AdRoyal Cruiser,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 00m,18:00,07:00,995,48Seats available,3.6552
Express Line,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 10m,18:30,07:40,1499,25Seats available,4.4548
Easy Ride,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,12h 40m,18:45,07:25,INR1500,25Seats available,4.7677
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,18:30,07:45,INR1200,48Seats available,4.5834
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,19:30,08:45,INR1200,40Seats available,4.4588
AdRoyal Cruiser,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 00m,18:00,07:00,995,48Seats available,3.6552
Express Line,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 10m,18:30,07:40,1499,25Seats available,4.4548
Lokenath Bus Service,1-Kolkata to Siliguri,Esplanade,Siliguri Junction bus stand,12h 15m,18:15,06:30,INR1200,50Seats available,4.4495
Greenline,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 00m,18:00,07:00,INR1500,31Seats available,4.6366
Rubi Paribahan,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,18:00,07:15,INR1199,38Seats available,4.3300
Greenline,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,18:30,07:45,INR1500,31Seats available,4.5463
Lokenath Bus Service,1-Kolkata to Siliguri,Esplanade,Siliguri Junction bus stand,12h 00m,20:00,08:00,INR1200,42Seats available,4.5116
Easy Ride,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,12h 40m,18:45,07:25,INR1500,25Seats available,4.7677
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,18:30,07:45,INR1200,48Seats available,4.5834
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 15m,19:30,08:45,INR1200,40Seats available,4.4588
AdRoyal Cruiser,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 00m,18:00,07:00,995,48Seats available,3.6552
Express Line,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 10m,18:30,07:40,1499,25Seats available,4.4548
Lokenath Bus Service,1-Kolkata to Siliguri,Esplanade,Siliguri Junction bus stand,12h 15m,18:15,06:30,INR1200,50Seats available,4.4495
Greenline,1-Kolkata to Siliguri,Esplanade,Tenzing Norgay Central Bus Stand,13h 00m,18:00,07:00,INR1500,31Seats available,4.6366
