name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Pammi Travels,1-Durgapur (West Bengal) to Kolkata,Durgapur NH2 GT Road Gandhi C...,Babughat,04h 00m,02:00,06:00,INR600,11Seats available,3.7
Royal Cruiser,1-Durgapur (West Bengal) to Kolkata,City Centre,Esplanade,04h 00m,02:00,06:00,475,8Seats available,4.093
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 10m,06:10,09:20,INR486,32Seats available,4.5108
Express Line (Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 10m,06:10,09:20,INR486,23Seats available,4.3171
Greenline,1-Durgapur (West Bengal) to Kolkata,City Center,Esplanade,03h 15m,06:30,09:45,INR486,20Seats available,4.2250
Pammi Travels,1-Durgapur (West Bengal) to Kolkata,Durgapur NH2 GT Road Gandhi C...,Babughat,04h 00m,02:00,06:00,INR600,11Seats available,3.7
Royal Cruiser,1-Durgapur (West Bengal) to Kolkata,City Centre,Esplanade,04h 00m,02:00,06:00,475,8Seats available,4.093
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 10m,06:10,09:20,INR486,32Seats available,4.5108
Express Line (Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 10m,06:10,09:20,INR486,23Seats available,4.3171
Greenline,1-Durgapur (West Bengal) to Kolkata,City Center,Esplanade,03h 15m,06:30,09:45,INR486,20Seats available,4.2250
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 20m,06:40,10:00,INR486,29Seats available,4.4347
Express Line,1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Esplanade,03h 10m,06:50,10:00,INR486,33Seats available,4.3282
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 15m,07:25,10:40,INR486,12Seats available,3.9266
Shyamoli Paribahan Pvt Ltd,1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Esplanade,03h 15m,07:30,10:45,INR486,11Seats available,4.0101
Bijoyatra travels,1-Durgapur (West Bengal) to Kolkata,City Center,B C Roy Market,03h 25m,07:45,11:10,INR375,45Seats available,4.35
Pammi Travels,1-Durgapur (West Bengal) to Kolkata,Durgapur NH2 GT Road Gandhi C...,Babughat,04h 00m,02:00,06:00,INR600,11Seats available,3.7
Royal Cruiser,1-Durgapur (West Bengal) to Kolkata,City Centre,Esplanade,04h 00m,02:00,06:00,475,8Seats available,4.093
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 10m,06:10,09:20,INR486,32Seats available,4.5108
Express Line (Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 10m,06:10,09:20,INR486,23Seats available,4.3171
Greenline,1-Durgapur (West Bengal) to Kolkata,City Center,Esplanade,03h 15m,06:30,09:45,INR486,20Seats available,4.2250
SHYAMOLI Pvt. Ltd.(Karunamoyee),1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Karunamoyee,03h 20m,06:40,10:00,INR486,29Seats available,4.4347
Express Line,1-Durgapur (West Bengal) to Kolkata,City Center Durgapur,Esplanade,03h 10m,06:50,10:00,INR486,33Seats available,4.3282
