name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
PEPSU (Punjab)  - 67142,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 25m,16:00,21:25,INR692,37Seats available,4.0147
PEPSU (Punjab)  - 66687,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,18:10,00:19,INR692,38Seats available,3.877
PEPSU (Punjab)  - 67104,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,22:30,03:31,INR440,39Seats available,3.0164
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
PEPSU (Punjab)  - 67142,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 25m,16:00,21:25,INR692,37Seats available,4.0147
PEPSU (Punjab)  - 66687,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,18:10,00:19,INR692,38Seats available,3.877
PEPSU (Punjab)  - 67104,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,22:30,03:31,INR440,39Seats available,3.0164
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
PEPSU (Punjab)  - 67142,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 25m,16:00,21:25,INR692,37Seats available,4.0147
PEPSU (Punjab)  - 66687,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,18:10,00:19,INR692,38Seats available,3.877
PEPSU (Punjab)  - 67104,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,22:30,03:31,INR440,39Seats available,3.0164
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
PEPSU (Punjab)  - 67142,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 25m,16:00,21:25,INR692,37Seats available,4.0147
PEPSU (Punjab)  - 66687,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,18:10,00:19,INR692,38Seats available,3.877
PEPSU (Punjab)  - 67104,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,22:30,03:31,INR440,39Seats available,3.0164
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
PEPSU (Punjab)  - 67142,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 25m,16:00,21:25,INR692,37Seats available,4.0147
PEPSU (Punjab)  - 66687,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,18:10,00:19,INR692,38Seats available,3.877
PEPSU (Punjab)  - 67104,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,22:30,03:31,INR440,39Seats available,3.0164
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
PEPSU (Punjab)  - 67142,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 25m,16:00,21:25,INR692,37Seats available,4.0147
PEPSU (Punjab)  - 66687,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,18:10,00:19,INR692,38Seats available,3.877
PEPSU (Punjab)  - 67104,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,22:30,03:31,INR440,39Seats available,3.0164
PEPSU (Punjab)  - 66695,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,04:20,09:21,INR692,27Seats available,3.936
PEPSU (Punjab)  - 66646,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,05:00,10:01,INR692,32Seats available,4.1126
PEPSU (Punjab)  - 66647,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,06:15,11:16,INR692,28Seats available,4.1178
PEPSU (Punjab)  - 67139,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:05,14:06,INR440,39Seats available,3.5110
PEPSU (Punjab)  - 66648,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,09:50,14:51,INR692,32Seats available,4.1265
PEPSU (Punjab)  - 66649,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,06h 09m,12:40,18:49,INR692,36Seats available,4.4229
PEPSU (Punjab)  - 67101,1-Patiala to Delhi,Counter no 23 New Bus stand P...,ISBT Kashmiri Gate,05h 01m,15:25,20:26,INR440,40Seats available,2.8112
